bin_center,sigma,d_sigma
1505000.0,3.412002361775094,0.1308543487953179
1507000.0,3.4127177168138867,0.1311643048124497
1509000.0,3.4128000000000003,0.1312
1511000.0,3.4128000000000003,0.1312
1513000.0,3.416648983844389,0.12201128979187852
1515000.0,3.4656000000000007,0.1312
1517000.0,3.7349717307190082,0.08843011021865732
1519000.0,3.465523918302756,0.1306811425542153
1521000.0,3.46528056369852,0.1290443866555861
1523000.0,3.464304414551021,0.1228036994225986
1525000.0,3.460838134991913,0.105157874048206
1527000.0,3.4516036774109926,0.0898609422893407
1529000.0,3.434103069059752,0.0930054992781578
1531000.0,3.420436987902965,0.0875072746292391
1533000.0,3.716524358933667,0.07436053442463372
1535000.0,3.645310560875543,0.0902775209903596
1537000.0,3.776654494774968,0.0969159782840835
1539000.0,3.7759084357016937,0.0916300643108913
1541000.0,3.7141000916499567,0.09576566504343771
1543000.0,3.648121462871921,0.08986231795312691
1545000.0,3.6281633903591977,0.0937689091838755
1547000.0,3.685880951187311,0.0902561824868246
1549000.0,3.781973324726288,0.0960933240729862
1551000.0,3.885816648557483,0.0953214387186154
1553000.0,3.9475555436192917,0.1069526302836219
1555000.0,3.916768967956104,0.0948161859192856
1557000.0,3.841753622712143,0.10381545371960708
1559000.0,3.7872831999083507,0.0956572066070626
1561000.0,3.76732260881133,0.0925162766376988
1563000.0,3.8437620514557236,0.0845712146561352
1565000.0,3.9704046441854417,0.07948905532006
1567000.0,4.040545694525816,0.0756520559635635
1569000.0,4.072115397747081,0.0703353147804596
1571000.0,4.0862832861448535,0.0686536291181188
1573000.0,4.100466494497916,0.0682792915890626
1575000.0,4.1313895374774665,0.0688682477477476
1577000.0,4.16068389384198,0.0689050867216383
1579000.0,4.192477080071061,0.0690543096110789
1581000.0,4.278252233629993,0.0692322921980497
1583000.0,4.616530147354183,0.0704395900791067
1585000.0,5.622288122241873,0.0763221433357715
1587000.0,7.426777663256274,0.0908738935190302
1589000.0,8.979594927045754,0.10607377275607438
1591000.0,8.876393488108134,0.106171300042653
1593000.0,7.3950422234622035,0.0945498393681177
1595000.0,5.842725572887201,0.0818147842662039
1597000.0,5.017826080026318,0.0790340901884284
1599000.0,4.740743159067422,0.0760805115498849
1601000.0,4.6452312798492486,0.0729837057716859
1603000.0,4.648263008077362,0.0726690009405059
1605000.0,4.708172319551558,0.0733808651730388
1607000.0,4.759998041051423,0.0736829101034082
1609000.0,4.797031137397721,0.0741023783278732
1611000.0,4.826008985748681,0.074523273123529
1613000.0,4.8274543005532085,0.0745005697942066
1615000.0,4.805830564380498,0.073779914553722
1617000.0,4.813794641974474,0.0733576630430986
1619000.0,4.862891948342696,0.0749085747158801
1621000.0,4.912528581826424,0.0778011086504242
1623000.0,4.9979679674631585,0.0784739941560469
1625000.0,5.137350457134522,0.0796076276192371
1627000.0,5.2132669154263525,0.0814098339053244
1629000.0,5.213354354787712,0.0817758500926735
1631000.0,5.210997465720961,0.0868231539651699
1633000.0,5.253835968142068,0.0901802967908604
1635000.0,5.344175803170744,0.10320471396675729
1637000.0,5.422872328501189,0.1075298162403353
1639000.0,5.447024592575009,0.1107113773086447
1641000.0,5.384519380232267,0.108263888853344
1643000.0,5.278991856214695,0.1083726136261637
1645000.0,5.2268253151317525,0.1076226591286887
1647000.0,5.2331418826942,0.1145329213904809
1649000.0,5.261694542730004,0.1138746244077747
1651000.0,5.317718207741586,0.1109487804658119
1653000.0,5.42448492237377,0.11724487397306749
1655000.0,5.581809160992057,0.1109688308459278
1657000.0,5.700574050161387,0.1143572475277972
1659000.0,5.735601806370725,0.11019838142045131
1661000.0,5.802832049684606,0.11375821010128828
1663000.0,5.9694507047442205,0.11266760080360481
1665000.0,6.082764273247072,0.1192543632819586
1667000.0,6.03817396605812,0.1160949814652286
1669000.0,5.959675504319551,0.12326342680635502
1671000.0,5.977642857916118,0.1140917586293979
1673000.0,6.075754446062437,0.1236626728200932
1675000.0,6.187244364854304,0.1196104262461651
1677000.0,6.297121544871186,0.11838784754569089
1679000.0,6.3680784715338605,0.11715298451811919
1681000.0,6.403953162558014,0.1186809358207706
1683000.0,6.4482028348240386,0.1177479883337131
1685000.0,6.536130606066541,0.1190645359208869
1687000.0,6.68451667514818,0.12066430179447152
1689000.0,6.847562862965159,0.1295282881008899
1691000.0,6.91913787059725,0.1303970553563473
1693000.0,6.874922570490538,0.12476958728717048
1695000.0,6.809452335460931,0.1310709499783273
1697000.0,6.769332588825635,0.12132368093213698
1699000.0,6.7615739139223425,0.12202994787612279
1701000.0,6.809606894641424,0.11884530112614812
1703000.0,6.934736256765849,0.1234871635260606
1705000.0,7.133086240379727,0.1254060973340535
1707000.0,7.344489962210057,0.1334758533872406
1709000.0,7.545676359205868,0.114333355200412
1711000.0,7.693736689826565,0.1106600239504959
1713000.0,7.757947163479677,0.1038152488297387
1715000.0,7.796150854104588,0.0946903432067312
1717000.0,7.869262534815312,0.091349582771971
1719000.0,8.017303635648643,0.09213865113540251
1721000.0,8.20454525848812,0.095710523218015
1723000.0,8.366864836656521,0.0988562364916627
1725000.0,8.51318249443748,0.09811334687454351
1727000.0,8.66827547383831,0.10067662986745189
1729000.0,8.828825252360652,0.1002857185421465
1731000.0,9.02778270860208,0.0982554861639801
1733000.0,9.272590053270433,0.0987502743186249
1735000.0,9.524567925775417,0.10133541477774048
1737000.0,9.788141557306682,0.10584221428074811
1739000.0,10.111087226121702,0.10903721441675178
1741000.0,10.459742734681765,0.11584006639629921
1743000.0,10.711395503147347,0.1265134932598732
