DATA (B) 0.1,DATA-ERR (B) 0.911,EN (EV) 1.1,EN-ERR (PER-CENT) 1.911
0.09813,7.7e-4,2.3811e+6,0.15
0.1009,7.8e-4,2.3861e+6,0.15
0.105,7.96e-4,2.3911e+6,0.15
0.1071,8.04e-4,2.3971e+6,0.15
0.1097,8.13e-4,2.4011e+6,0.15
0.109,8.11e-4,2.4071e+6,0.15
0.1078,8.07e-4,2.4121e+6,0.15
0.1061,8.01e-4,2.4171e+6,0.15
0.1044,7.94e-4,2.4222e+6,0.15
0.09847,7.71e-4,2.4272e+6,0.15
0.0952,7.58e-4,2.4322e+6,0.15
0.0883,7.31e-4,2.4382e+6,0.15
0.08367,7.12e-4,2.4432e+6,0.15
0.07596,6.79e-4,2.4482e+6,0.15
0.07009,6.53e-4,2.4532e+6,0.15
0.06592,6.32e-4,2.4582e+6,0.15
0.06186,6.13e-4,2.4632e+6,0.15
0.05739,5.91e-4,2.4692e+6,0.15
0.05378,5.73e-4,2.4742e+6,0.15
0.05151,5.62e-4,2.4792e+6,0.15
0.04889,5.47e-4,2.4842e+6,0.15
0.04611,5.31e-4,2.4892e+6,0.15
0.04471,5.23e-4,2.4952e+6,0.15
0.0423,5.1e-4,2.5002e+6,0.15
0.04105,5.02e-4,2.5052e+6,0.15
0.03943,4.93e-4,2.5102e+6,0.15
0.03747,4.81e-4,2.5152e+6,0.15
0.0368,4.77e-4,2.5202e+6,0.15
0.03563,4.7e-4,2.5262e+6,0.15
0.03526,4.66e-4,2.5312e+6,0.15
0.03458,4.62e-4,2.5362e+6,0.15
0.03354,4.56e-4,2.5412e+6,0.15
0.0332,4.54e-4,2.5472e+6,0.15
0.032,4.45e-4,2.5522e+6,0.15
0.03276,4.51e-4,2.5572e+6,0.15
0.03292,4.52e-4,2.5622e+6,0.15
0.03215,4.46e-4,2.5682e+6,0.15
0.03344,4.55e-4,2.5732e+6,0.15
0.03468,4.63e-4,2.5782e+6,0.15
0.03773,4.82e-4,2.5842e+6,0.15
0.04879,5.47e-4,2.5892e+6,0.15
0.06623,6.35e-4,2.5942e+6,0.15
0.09188,7.47e-4,2.6002e+6,0.15
0.09659,7.66e-4,2.6052e+6,0.15
0.07339,6.68e-4,2.6102e+6,0.15
0.05459,5.78e-4,2.6152e+6,0.15
0.04257,5.12e-4,2.6212e+6,0.15
0.03865,4.89e-4,2.6262e+6,0.15
0.03486,4.65e-4,2.6312e+6,0.15
0.03277,4.51e-4,2.6372e+6,0.15
0.03244,4.49e-4,2.6422e+6,0.15
0.03133,4.41e-4,2.6482e+6,0.15
0.03235,4.49e-4,2.6532e+6,0.15
0.03217,4.48e-4,2.6582e+6,0.15
0.03496,4.66e-4,2.6642e+6,0.15
0.0439,5.2e-4,2.6692e+6,0.15
0.08503,7.19e-4,2.6743e+6,0.15
0.1352,9.04e-4,2.6803e+6,0.15
0.07995,6.98e-4,2.6853e+6,0.15
0.04843,5.45e-4,2.6913e+6,0.15
0.03741,4.82e-4,2.6963e+6,0.15
0.03295,4.53e-4,2.7013e+6,0.15
0.03125,4.42e-4,2.7073e+6,0.15
0.03051,4.36e-4,2.7123e+6,0.15
0.02831,4.21e-4,2.7183e+6,0.15
0.02769,4.17e-4,2.7233e+6,0.15
0.02714,4.13e-4,2.7293e+6,0.15
0.02867,4.25e-4,2.7343e+6,0.15
0.0289,4.26e-4,2.7393e+6,0.15
0.03119,4.42e-4,2.7453e+6,0.15
0.03512,4.67e-4,2.7503e+6,0.15
0.04766,5.41e-4,2.7563e+6,0.15
0.08241,7.08e-4,2.7613e+6,0.15
0.09494,7.6e-4,2.7673e+6,0.15
0.05929,6.03e-4,2.7723e+6,0.15
0.04279,5.15e-4,2.7783e+6,0.15
0.03972,4.97e-4,2.7833e+6,0.15
0.0423,5.12e-4,2.7893e+6,0.15
0.05332,5.72e-4,2.7943e+6,0.15
0.08556,7.22e-4,2.8003e+6,0.15
0.203,0.001107,2.8053e+6,0.15
0.2617,0.001256,2.8113e+6,0.15
0.0963,7.66e-4,2.8173e+6,0.15
0.05973,6.05e-4,2.8223e+6,0.15
0.04476,5.27e-4,2.8283e+6,0.15
0.03784,4.85e-4,2.8333e+6,0.15
0.0318,4.46e-4,2.8383e+6,0.15
0.03026,4.37e-4,2.8443e+6,0.15
0.02905,4.28e-4,2.8503e+6,0.15
0.02812,4.22e-4,2.8553e+6,0.15
0.02732,4.15e-4,2.8613e+6,0.15
0.02639,4.09e-4,2.8663e+6,0.15
0.02577,4.05e-4,2.8723e+6,0.15
0.02561,4.04e-4,2.8773e+6,0.15
0.02561,4.04e-4,2.8833e+6,0.15
0.02491,3.99e-4,2.8893e+6,0.15
0.02475,3.97e-4,2.9003e+6,0.15
0.02477,3.98e-4,2.9053e+6,0.15
0.02504,4.0e-4,2.9113e+6,0.15
0.02722,4.16e-4,2.9173e+6,0.15
0.02537,4.02e-4,2.9223e+6,0.15
0.02564,4.04e-4,2.9283e+6,0.15
0.02557,4.04e-4,2.9343e+6,0.15
0.02608,4.07e-4,2.9393e+6,0.15
0.02608,4.07e-4,2.9453e+6,0.15
0.02692,4.14e-4,2.9513e+6,0.15
0.02667,4.13e-4,2.9564e+6,0.15
0.02708,4.15e-4,2.9624e+6,0.15
0.02836,4.24e-4,2.9684e+6,0.15
0.02877,4.27e-4,2.9734e+6,0.15
0.02945,4.33e-4,2.9794e+6,0.15
0.03102,4.43e-4,2.9854e+6,0.15
0.03145,4.46e-4,2.9904e+6,0.15
0.0331,4.57e-4,2.9964e+6,0.15
0.03506,4.7e-4,3.0024e+6,0.15
0.03713,4.83e-4,3.0084e+6,0.15
0.04038,5.02e-4,3.0134e+6,0.15
0.0426,5.16e-4,3.0194e+6,0.15
0.04759,5.44e-4,3.0254e+6,0.15
0.05129,5.64e-4,3.0304e+6,0.15
0.05687,5.94e-4,3.0364e+6,0.15
0.06248,6.21e-4,3.0424e+6,0.15
0.06629,6.39e-4,3.0474e+6,0.15
0.07036,6.59e-4,3.0534e+6,0.15
0.0718,6.65e-4,3.0594e+6,0.15
0.06973,6.55e-4,3.0654e+6,0.15
0.06864,6.5e-4,3.0714e+6,0.15
0.06703,6.43e-4,3.0764e+6,0.15
0.0645,6.31e-4,3.0824e+6,0.15
0.06276,6.23e-4,3.0884e+6,0.15
0.05958,6.08e-4,3.0944e+6,0.15
0.05742,5.97e-4,3.1004e+6,0.15
0.05616,5.91e-4,3.1064e+6,0.15
0.05525,5.85e-4,3.1114e+6,0.15
0.0544,5.81e-4,3.1174e+6,0.15
0.05454,5.82e-4,3.1234e+6,0.15
0.05367,5.78e-4,3.1294e+6,0.15
0.05453,5.82e-4,3.1344e+6,0.15
0.05526,5.87e-4,3.1404e+6,0.15
0.05354,5.77e-4,3.1464e+6,0.15
0.05573,5.89e-4,3.1524e+6,0.15
0.05683,5.94e-4,3.1584e+6,0.15
0.05792,6.0e-4,3.1644e+6,0.15
0.06099,6.16e-4,3.1704e+6,0.15
0.0607,6.13e-4,3.1764e+6,0.15
0.0622,6.21e-4,3.1814e+6,0.15
0.0657,6.38e-4,3.1884e+6,0.15
0.06854,6.51e-4,3.1934e+6,0.15
0.06987,6.57e-4,3.1994e+6,0.15
0.07291,6.71e-4,3.2054e+6,0.15
0.0754,6.82e-4,3.2114e+6,0.15
0.07915,6.99e-4,3.2174e+6,0.15
0.08226,7.12e-4,3.2234e+6,0.15
0.08532,7.24e-4,3.2294e+6,0.15
0.09005,7.44e-4,3.2354e+6,0.15
0.09666,7.7e-4,3.2414e+6,0.15
0.1006,7.86e-4,3.2474e+6,0.15
0.1067,8.09e-4,3.2524e+6,0.15
0.1116,8.27e-4,3.2585e+6,0.15
0.1176,8.48e-4,3.2645e+6,0.15
0.1261,8.78e-4,3.2705e+6,0.15
0.1339,9.05e-4,3.2765e+6,0.15
0.14,9.25e-4,3.2825e+6,0.15
0.1472,9.49e-4,3.2885e+6,0.15
0.155,9.72e-4,3.2945e+6,0.15
0.159,9.85e-4,3.3005e+6,0.15
0.1644,0.001001,3.3065e+6,0.15
0.1684,0.001014,3.3125e+6,0.15
0.1684,0.001013,3.3185e+6,0.15
0.1679,0.001012,3.3245e+6,0.15
0.1645,0.001002,3.3305e+6,0.15
0.1601,9.88e-4,3.3365e+6,0.15
0.1531,9.67e-4,3.3425e+6,0.15
0.1475,9.49e-4,3.3485e+6,0.15
0.1369,9.15e-4,3.3545e+6,0.15
0.1288,8.88e-4,3.3605e+6,0.15
0.1197,8.57e-4,3.3665e+6,0.15
0.1131,8.33e-4,3.3725e+6,0.15
0.1049,8.03e-4,3.3785e+6,0.15
0.1035,7.98e-4,3.3845e+6,0.15
0.1023,7.94e-4,3.3905e+6,0.15
0.1055,8.05e-4,3.3965e+6,0.15
0.1131,8.34e-4,3.4035e+6,0.15
0.1325,9.01e-4,3.4085e+6,0.15
0.1463,9.46e-4,3.4155e+6,0.15
0.1424,9.35e-4,3.4215e+6,0.15
0.1171,8.48e-4,3.4275e+6,0.15
0.08985,7.46e-4,3.4335e+6,0.15
